1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2020,PG-13,90 min,Documentaries,As her father nears the end of his life  filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable 
2,Movie,Sankofa,Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",On a photo shoot in Ghana  an American model slips back in time  becomes enslaved on a plantation and bears witness to the agony of her ancestral past 
3,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",A talented batch of amateur bakers face off in a 10 week competition  whipping up their best dishes in the hopes of being named the U K  s best 
4,Movie,The Starling,Theodore Melfi,United States,2021,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that s taken over her garden   and a husband who s struggling to find a way forward 
5,Movie,Je Suis Karl,Christian Schwochow,"Germany, Czech Republic",2021,TV-MA,127 min,"Dramas, International Movies",After most of her family is murdered in a terrorist bombing  a young woman is unknowingly lured into joining the very group that killed them 
6,Movie,Jeans,S  Shankar,India,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",When the father of the man she loves insists that his twin sons marry twin sisters  a woman creates an alter ego that might be a bit too convincing 
7,Movie,Grown Ups,Dennis Dugan,United States,2010,PG-13,103 min,Comedies,Mourning the loss of their beloved junior high basketball coach  five middle aged pals reunite at a lake house and rediscover the joys of being a kid 
8,Movie,Dark Skies,Scott Stewart,United States,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",A family s idyllic suburban life shatters when an alien force invades their home  and as they struggle to convince others of the deadly threat 
9,Movie,Paranoia,Robert Luketic,"United States, India, France",2013,PG-13,106 min,Thrillers,Blackmailed by his company s CEO  a low level employee finds himself forced to spy on the boss s rival and former mentor 
10,Movie,Birth of the Dragon,George Nolfi,"China, Canada, United States",2017,PG-13,96 min,"Action & Adventure, Dramas",A young Bruce Lee angers kung fu traditionalists by teaching outsiders  leading to a showdown with a Shaolin master in this film based on real events 
11,Movie,Jaws,Steven Spielberg,United States,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",When an insatiable great white shark terrorizes Amity Island  a police chief  an oceanographer and a grizzled shark hunter seek to destroy the beast 
12,Movie,Jaws 2,Jeannot Szwarc,United States,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",Four years after the last deadly shark attacks  police chief Martin Brody fights to protect Amity Island from another killer great white 
13,Movie,Jaws 3,Joe Alves,United States,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",After the staff of a marine theme park try to capture a young great white shark  they discover its mother has invaded the enclosure and is out for blood 
14,Movie,Jaws  The Revenge,Joseph Sargent,United States,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",After another deadly shark attack  Ellen Brody has had enough of Amity Island and moves to the Caribbean   but a great white shark follows her there 
15,Movie,Safe House,Daniel Espinosa,"South Africa, United States, Japan",2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that s come under attack and get him to a securer location 
16,Movie,Training Day,Antoine Fuqua,United States,2001,R,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor s questionable brand of justice 
17,Movie,InuYasha the Movie 2  The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",With their biggest foe seemingly defeated  InuYasha and his friends return to everyday life  But the peace is soon shattered by an emerging new enemy 
18,Movie,InuYasha the Movie 3  Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons  Now the evil power of the third sword has been awakened 
19,Movie,InuYasha the Movie 4  Fire on the Mystic Island,Toshiya Shinohara,Japan,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",Ai  a young half demon who has escaped from Horai Island to try to help her people  returns with potential saviors InuYasha  Sesshomaru and Kikyo 
20,Movie,InuYasha the Movie  Affections Touching Across Time,Toshiya Shinohara,Japan,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",A powerful demon has been sealed away for 200 years  But when the demon s son is awakened  the fate of the world is in jeopardy 
21,Movie,Naruto Shippuden the Movie  Blood Prison,Masahiko Murata,Japan,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",Mistakenly accused of an attack on the Fourth Raikage  ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed 
24,Movie,Naruto Shippuden  The Movie,Hajime Kamegaki,Japan,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",The adventures of adolescent ninja Naruto Uzumaki continue as he s tasked with protecting a priestess from a demon   but to do so  he must die 
25,Movie,Naruto Shippuden  The Movie  The Lost Tower,Masahiko Murata,Japan,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",When Naruto is sent to recover a missing nin  the rogue manages to send him 20 years into the past  where he unites with his father to battle evil 
26,Movie,Naruto the Movie 2  Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",While on a mission to return a missing pet  Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin 
27,Movie,Naruto the Movie 3  Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son  Hikaru  to the Crescent Moon kingdom 
28,Movie,Naruto the Movie  Ninja Clash in the Land of Snow,Tensai Okamura,Japan,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",Naruto  Sasuke and Sakura learn they ll be protecting an actress from being hurt while making her next film  but it turns out she s a princess 
29,Movie,King of Boys,Kemi Adetiba,Nigeria,2018,TV-MA,182 min,"Dramas, International Movies",When a powerful businesswoman s political ambitions are threatened by her underworld connections  the ensuing power struggle could cost her everything 
30,Movie,Kate,Cedric Nicolas Troyan,United States,2021,R,106 min,Action & Adventure,Slipped a fatal poison on her final job  a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge 
31,Movie,Omo Ghetto  the Saga,JJC Skillz  Funke Akindele,Nigeria,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",Twins are reunited as a good hearted female gangster and her uptight rich sister take on family  crime  cops and all of the trouble that follows them 
32,Movie,Paradise Hills,Alice Waddington,"Spain, United States",2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies  That s bad enough  but its real purpose is even worse 
33,Movie,The Women and the Murderer,Mona Achache  Patricia Tourancheau,France,2021,TV-14,92 min,"Documentaries, International Movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women  a police chief and a victim s mother 
34,Movie,Show Dogs,Raja Gosnell,"United Kingdom, United States",2018,PG,90 min,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale 
35,Movie,If I Leave Here Tomorrow  A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2018,TV-MA,97 min,"Documentaries, Music & Musicals",Using interviews and archival footage  this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant 
36,Movie,Untold  Breaking Point,Chapman Way  Maclain Way,United States,2021,TV-MA,80 min,"Documentaries, Sports Movies",Under pressure to continue a winning tradition in American tennis  Mardy Fish faced mental health challenges that changed his life on and off the court 
37,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",After growing up amidst the gang wars of his hometown  Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law 
38,Movie,A Champion Heart,David de Vos,United States,2018,G,90 min,"Children & Family Movies, Dramas",When a grieving teen must work off her debt to a ranch  she cares for a wounded horse that teaches her more about healing than she expected 
39,Movie,Anjaam,Rahul Rawail,India,1994,TV-14,143 min,"Dramas, International Movies, Thrillers",A wealthy industrialist s dangerous obsession with a flight attendant destroys her world  until she takes matters into her own hands to exact revenge 
40,Movie,Bright Star,Jane Campion,"United Kingdom, Australia, France",2009,PG,119 min,"Dramas, Romantic Movies",This drama details the passionate three year romance between Romantic poet John Keats   who died tragically at age 25   and his great love and muse 
41,Movie,Dhanak,Nagesh Kukunoor,India,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",A movie loving 10 year old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation 
42,Movie,Final Account,Luke Holland,"United Kingdom, United States",2021,PG-13,94 min,Documentaries,This documentary stitches together never before seen interviews with the last living generation of people who participated in Hitler s Third Reich 
43,Movie,Gurgaon,Shanker Raman,India,2017,TV-14,106 min,"Dramas, International Movies, Thrillers",When the daughter of a wealthy family returns from college  she gets a frosty welcome from her brother  who has problems   and plans   of his own 
44,Movie,In the Cut,Jane Campion,"United Kingdom, Australia, France, United States",2003,R,118 min,Thrillers,After embarking on an affair with the cop probing the murder of a young woman  an insular schoolteacher suspects her lover was involved in the crime 
45,Movie,Shikara,Vidhu Vinod Chopra,India,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp 
46,Movie,A Cinderella Story,Mark Rosman,"United States, Canada",2004,PG,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother s diner  Can her lost cell phone bring them together 
48,Movie,Blade Runner  The Final Cut,Ridley Scott,United States,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",In a smog choked dystopian Los Angeles  blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped  replicants  
49,Movie,Chappie,Neill Blomkamp,"South Africa, United States",2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",In a futuristic society where an indestructible robot police force keeps crime at bay  a lone droid evolves to the next level of artificial intelligence 
50,Movie,Clear and Present Danger,Phillip Noyce,"United States, Mexico",1994,PG-13,142 min,"Action & Adventure, Dramas",When the president s friend is murdered  CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel 
51,Movie,Cliffhanger,Renny Harlin,"United States, Italy, France, Japan",1993,R,113 min,Action & Adventure,Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers  only to learn the climbers are actually thieving hijackers 
52,Movie,Cold Mountain,Anthony Minghella,"United States, Italy, Romania, United Kingdom",2003,R,154 min,"Dramas, Romantic Movies",This drama follows a wounded Civil War soldier making the long journey home  while his faraway love fights for survival on her deceased father s farm 
53,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Australia, United States",2001,PG,95 min,"Action & Adventure, Comedies",When Mick  Crocodile  Dundee and his family land in Los Angeles  they soon learn some lessons about American life in this comedy sequel 
55,Movie,Do the Right Thing,Spike Lee,United States,1989,R,120 min,"Classic Movies, Comedies, Dramas",On a sweltering day in Brooklyn  simmering racial tensions between residents rise to the surface and ignite rage  violence and tragedy 
57,Movie,Extraction,Steven C  Miller,"United States, United Kingdom, Canada",2015,R,82 min,Action & Adventure,When a retired CIA agent is kidnapped  his son  a government analyst  embarks on an unauthorized mission to find him and halt a terrorist plot 
58,Movie,Freedom Writers,Richard LaGravenese,"Germany, United States",2007,PG-13,124 min,Dramas,While her at risk students are reading classics such as  The Diary of Anne Frank   a teacher asks them to keep journals about their troubled lives 
59,Movie,Green Lantern,Martin Campbell,United States,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat 
60,Movie,House Party,Reginald Hudlin,United States,1990,R,104 min,"Comedies, Cult Movies",Grounded by his strict father  Kid risks life and limb to go to his best friend Play s big bash but experiences one obstacle after another 
61,Movie,House Party 2,George Jackson  Doug McHenry,United States,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",Kid goes off to college with scholarship money but when Play loses Kid s tuition funds to a shady music promoter  they devise a wild plan to raise cash 
62,Movie,House Party 3,Eric Meza,United States,1994,R,94 min,"Comedies, Music & Musicals",After Kid gets engaged  Play plans to throw the biggest bachelor party ever  But every celebration for these two always comes with complications 
63,Movie,I Got the Hook Up,Michael Martin,United States,1998,R,93 min,"Action & Adventure, Comedies",After getting their hands on a misdirected shipment of cell phones  two hustlers try to cash in by hawking the merchandise from the back of their van 
64,Movie,In Too Deep,Michael Rymer,United States,1999,R,97 min,Thrillers,Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery  intimidation and murder 
65,Movie,Initial D,Andrew Lau Wai keung  Alan Mak,"China, Hong Kong",2005,TV-14,109 min,"Action & Adventure, International Movies",By day  an 18 year old delivers tofu for his father  a retired race car driver  but by night  it s the teen s turn to take the wheel 
